Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species
261	Spectrogram 1	1	2785.5	2788.5	600	1400	C
262	Spectrogram 1	1	3090.0	3093.0	600	1400	C
263	Spectrogram 1	1	3181.5	3184.5	600	1400	C
264	Spectrogram 1	1	3379.5	3382.5	600	1400	C
265	Spectrogram 1	1	3390.0	3393.0	600	1400	C
266	Spectrogram 1	1	3402.0	3405.0	600	1400	C
267	Spectrogram 1	1	3426.0	3429.0	600	1400	C
268	Spectrogram 1	1	3463.5	3466.5	600	1400	C
269	Spectrogram 1	1	3466.5	3469.5	600	1400	C
270	Spectrogram 1	1	3555.0	3558.0	600	1400	C
271	Spectrogram 1	1	3556.5	3559.5	600	1400	C
272	Spectrogram 1	1	3567.0	3570.0	600	1400	C
273	Spectrogram 1	1	3588.0	3591.0	600	1400	C
