Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species
236	Spectrogram 1	1	3193.5	3196.5	600	1400	C
237	Spectrogram 1	1	3195.0	3198.0	600	1400	C
238	Spectrogram 1	1	3243.0	3246.0	600	1400	C
239	Spectrogram 1	1	3256.5	3259.5	600	1400	C
240	Spectrogram 1	1	3271.5	3274.5	600	1400	C
241	Spectrogram 1	1	3294.0	3297.0	600	1400	C
242	Spectrogram 1	1	3318.0	3321.0	600	1400	C
243	Spectrogram 1	1	3336.0	3339.0	600	1400	C
244	Spectrogram 1	1	3355.5	3358.5	600	1400	C
245	Spectrogram 1	1	3414.0	3417.0	600	1400	C
246	Spectrogram 1	1	3444.0	3447.0	600	1400	C
247	Spectrogram 1	1	3445.5	3448.5	600	1400	C
248	Spectrogram 1	1	3450.0	3453.0	600	1400	C
249	Spectrogram 1	1	3451.5	3454.5	600	1400	C
250	Spectrogram 1	1	3453.0	3456.0	600	1400	C
251	Spectrogram 1	1	3454.5	3457.5	600	1400	C
252	Spectrogram 1	1	3456.0	3459.0	600	1400	C
253	Spectrogram 1	1	3457.5	3460.5	600	1400	C
254	Spectrogram 1	1	3462.0	3465.0	600	1400	C
255	Spectrogram 1	1	3463.5	3466.5	600	1400	C
256	Spectrogram 1	1	3465.0	3468.0	600	1400	C
257	Spectrogram 1	1	3466.5	3469.5	600	1400	C
258	Spectrogram 1	1	3468.0	3471.0	600	1400	C
259	Spectrogram 1	1	3471.0	3474.0	600	1400	C
260	Spectrogram 1	1	3498.0	3501.0	600	1400	C
261	Spectrogram 1	1	3549.0	3552.0	600	1400	C
262	Spectrogram 1	1	3550.5	3553.5	600	1400	C
263	Spectrogram 1	1	3559.5	3562.5	600	1400	C
264	Spectrogram 1	1	3570.0	3573.0	600	1400	C
265	Spectrogram 1	1	3582.0	3585.0	600	1400	C
